0,80,0,1000,76.216
0.05,80,0,1000,76.394
0.1,80,0,1000,77.108
0.15,80,0,1000,78.29
0.2,80,3,1000,79.843
0.25,80,3,1000,81.502
0.3,80,3,1000,82.792
0.35,80,3,1000,83.71
0.4,80,4.5,1000,84.33
0.45,80,4.5,1000,84.611
0.5,80,4.5,1000,84.393
0.55,80,4.5,1000,83.774
0.6,80,4.3325,1000,82.877
0.65,80,4.3325,1000,81.811
0.7,80,4.3325,1000,80.673
0.75,80,4.3325,1000,79.508
0.8,80,1.6817,1000,78.344
0.85,80,1.6817,1000,77.359
0.9,80,1.6817,1000,76.876
0.95,80,1.6817,1000,76.799
1,80,2.1198,1000,77.019
1.05,80,2.1198,1000,77.433
1.1,80,2.1198,1000,77.93
1.15,80,2.1198,1000,78.479
1.2,80,2.9192,1000,79.067
1.25,80,2.9192,1000,79.629
1.3,80,2.9192,1000,80.054
1.35,80,2.9192,1000,80.354
1.4,80,2.9508,1000,80.558
1.45,80,2.9508,1000,80.686
1.5,80,2.9508,1000,80.753
1.55,80,2.9508,1000,80.773
1.6,80,2.9626,1000,80.758
1.65,80,2.9626,1000,80.716
1.7,80,2.9626,1000,80.654
1.75,80,2.9626,1000,80.577
1.8,80,2.9626,1000,80.49
1.85,80,2.9626,1000,80.396
1.9,80,2.9626,1000,80.298
1.95,80,2.9626,1000,80.197
2,80,2.9626,1000,80.097
2.05,80,2.9626,1000,79.997
2.1,80,2.9626,1000,79.898
2.15,80,2.9626,1000,79.801
2.2,80,2.9626,1000,79.706
2.25,80,2.9626,1000,79.614
2.3,80,2.9626,1000,79.525
2.35,80,2.9626,1000,79.438
2.4,80,2.9626,1000,79.354
2.45,80,2.9626,1000,79.273
2.5,80,2.9626,1000,79.195
2.55,80,2.9626,1000,79.119
2.6,80,2.9626,1000,79.046
2.65,80,2.9626,1000,78.976
2.7,80,2.9626,1000,78.909
2.75,80,2.9626,1000,78.844
2.8,80,2.3614,1000,78.781
2.85,80,2.3614,1000,78.758
2.9,80,2.3614,1000,78.85
2.95,80,2.3614,1000,79.038
3,80,2.7891,1000,79.297
3.05,80,2.7891,1000,79.579
3.1,80,2.7891,1000,79.816
3.15,80,2.7891,1000,80.007
3.2,80,2.8044,1000,80.164
3.25,80,2.8044,1000,80.292
3.3,80,2.8044,1000,80.396
3.35,80,2.8044,1000,80.48
3.4,80,2.8336,1000,80.55
3.45,80,2.8336,1000,80.606
3.5,80,2.8336,1000,80.648
3.55,80,2.8336,1000,80.677
3.6,80,2.8399,1000,80.698
3.65,80,2.8399,1000,80.711
3.7,80,2.8399,1000,80.718
3.75,80,2.8399,1000,80.72
3.8,80,2.8399,1000,80.718
3.85,80,2.8399,1000,80.714
3.9,80,2.8399,1000,80.707
3.95,80,2.8399,1000,80.7
4,80,2.8399,1000,80.691
4.05,80,2.8399,1000,80.682
4.1,80,2.8399,1000,80.673
4.15,80,2.8399,1000,80.663
4.2,80,2.8399,1000,80.653
4.25,80,2.8399,1000,80.644
4.3,80,2.8399,1000,80.634
4.35,80,2.8399,1000,80.625
4.4,80,2.8399,1000,80.615
4.45,80,2.8399,1000,80.606
4.5,80,2.8399,1000,80.598
4.55,80,2.8399,1000,80.589
4.6,80,2.8399,1000,80.581
4.65,80,2.8399,1000,80.573
4.7,80,2.8399,1000,80.565
4.75,80,2.8399,1000,80.558
4.8,80,2.8399,1000,80.551
4.85,80,2.8399,1000,80.544
4.9,80,2.8399,1000,80.537
4.95,80,2.8399,1000,80.531
5,80,2.8399,1000,80.524
5.05,80,2.8399,1000,80.518
5.1,80,2.8399,1000,80.513
5.15,80,2.8399,1000,80.507
5.2,80,2.8399,1000,80.502
5.25,80,2.8399,1000,80.496
5.3,80,2.8399,1000,80.491
5.35,80,2.8399,1000,80.487
5.4,80,2.8399,1000,80.482
5.45,80,2.8399,1000,80.478
5.5,80,2.8399,1000,80.473
5.55,80,2.8399,1000,80.469
5.6,80,2.8399,1000,80.465
5.65,80,2.8399,1000,80.461
