0,80,3,0,0,80.00,,27.65072765,133,>70,
0.05,80,3.0167,0,0,80.02,,72.55717256,349,>80,
0.1,80,3.0538,0,0,80.05,,0,0,<70,
0.15,80,3.0982,0,0,80.10,,0,0,>100,
0.2,80,3.1423,0,0,80.14,,0,0,>110,
0.25,80,3.1823,0,0,80.18,,80.98,481,,
0.3,80,3.2162,0,0,80.22,,,,,
0.35,80,3.2434,0,0,80.24,,,,,
0.4,80,3.264,0,0,80.26,,,,,
0.45,80,3.2784,0,0,80.28,,,,,
0.5,80,3.2872,0,0,80.29,,,,,
0.55,80,3.2911,0,0,80.29,,,,,
0.6,80,3.2908,0,0,80.29,,,,,
0.65,80,3.2871,0,0,80.29,,,,,
0.7,80,3.2806,0,0,80.28,,,,,
0.75,80,3.2717,0,0,80.27,,,,,
0.8,80,3.2612,0,0,80.26,,,,,
0.85,80,3.2493,0,0,80.25,,,,,
0.9,80,3.2364,0,0,80.24,,,,,
0.95,80,3.223,0,0,80.22,,,,,
1,80,3.2092,0,0,80.21,,,,,
1.05,80,3.1954,0,0,80.19,,,,,
1.1,80,3.1816,0,0,80.18,,,,,
1.15,80,3.1681,0,0,80.17,,,,,
1.2,80,3.1549,0,0,80.15,,,,,
1.25,80,3.1423,0,0,80.14,,,,,
1.3,80,3.1302,0,0,80.13,,,,,
1.35,80,3.1186,0,0,80.12,,,,,
1.4,80,3.1078,0,0,80.11,,,,,
1.45,80,3.0975,0,0,80.10,,,,,
1.5,80,3.088,0,0,80.09,,,,,
1.55,80,3.0791,0,0,80.08,,,,,
1.6,80,3.0709,0,0,80.07,,,,,
1.65,80,3.0633,0,0,80.06,,,,,
1.7,80,3.0563,0,0,80.05,,,,,
1.75,80,3.05,0,0,80.05,,,,,
1.8,80,3.0442,0,0,80.04,,,,,
1.85,80,3.0389,0,0,80.04,,,,,
1.9,80,3.0341,0,0,80.03,,,,,
1.95,80,3.0299,0,0,80.03,,,,,
2,80,3.026,0,0,80.02,,,,,
2.05,80,3.0226,0,0,80.02,,,,,
2.1,80,3.0195,0,0,80.02,,,,,
2.15,80,3.0168,0,0,80.01,,,,,
2.2,80,3.0145,0,0,80.01,,,,,
2.25,80,3.0124,0,0,80.01,,,,,
2.3,80,3.0105,0,0,80.01,,,,,
2.35,80,3.0089,0,0,80.01,,,,,
2.4,80,3.0076,0,0,80.00,,,,,
2.45,80,3.0064,0,0,80.00,,,,,
2.5,80,3.0054,0,0,80.00,,,,,
2.55,80,3.0045,0,0,80.00,,,,,
2.6,80,3.0038,0,0,80.00,,,,,
2.65,80,3.0032,0,0,80.00,,,,,
2.7,80,3.0027,0,0,80.00,,,,,
2.75,80,3.0024,0,0,80.00,,,,,
2.8,80,3.002,0,0,80.00,,,,,
2.85,80,3.0018,0,0,80.00,,,,,
2.9,80,3.0016,0,0,80.00,,,,,
2.95,80,3.0015,0,0,80.00,,,,,
3,80,3.0014,0,0,80.00,,,,,
3.05,80,3.0014,0,0,80.00,,,,,
3.1,80,3.0013,0,0,80.00,,,,,
3.15,80,3.0014,0,0,80.00,,,,,
3.2,80,3.0014,0,0,80.00,,,,,
3.25,80,3.0014,0,0,80.00,,,,,
3.3,80,3.0015,0,0,80.00,,,,,
3.35,80,3.0016,0,0,80.00,,,,,
3.4,80,3.0016,0,0,80.00,,,,,
3.45,80,3.0017,0,0,80.00,,,,,
3.5,80,3.0018,0,0,80.00,,,,,
3.55,80,3.0019,0,0,80.00,,,,,
3.6,80,3.002,0,0,80.00,,,,,
3.65,80,3.0021,0,0,80.00,,,,,
3.7,80,3.0021,0,0,80.00,,,,,
3.75,80,3.0022,0,0,80.00,,,,,
3.8,80,3.0023,0,0,80.00,,,,,
3.85,80,3.0024,0,0,80.00,,,,,
3.9,80,3.0024,0,0,80.00,,,,,
3.95,80,3.0025,0,0,80.00,,,,,
4,80,3.0026,0,0,80.00,,,,,
4.05,80,3.0021,0,3.8065,80.00,,,,,
4.1,80,2.9973,0,7.2508,79.99,,,,,
4.15,80,2.9829,0,10.367,79.98,,,,,
4.2,80,2.9557,0,13.187,79.95,,,,,
4.25,80,2.9141,0,15.739,79.91,,,,,
4.3,80,2.8579,0,18.048,79.86,,,,,
4.35,80,2.7881,0,20.137,79.79,,,,,
4.4,80,2.7062,0,22.027,79.70,,,,,
4.45,80,2.6142,0,23.737,79.61,,,,,
4.5,80,2.5144,0,25.285,79.51,,,,,
4.55,80,2.409,0,26.685,79.41,,,,,
4.6,80,2.3002,0,27.952,79.30,,,,,
4.65,80,2.1898,0,29.099,79.19,,,,,
4.7,80,2.0797,0,30.136,79.08,,,,,
4.75,80,1.9714,0,31.075,78.97,,,,,
4.8,80,1.8661,0,31.924,78.87,,,,,
4.85,80,1.7648,0,32.693,78.77,,,,,
4.9,80,1.6684,0,33.388,78.67,,,,,
4.95,80,1.5774,0,34.017,78.58,,,,,
5,80,1.4923,0,34.587,78.50,,,,,
5.05,80,1.4133,0,35.102,78.42,,-0.4,,,
5.1,80,1.3406,0,35.568,78.35,,,,,
5.15,80,1.2741,0,35.99,78.28,,,,,
5.2,80,1.2137,0,36.371,78.22,,,,,
5.25,80,1.1599,0,32.91,78.17,,,,,
5.3,80,1.1162,0,29.778,78.12,,,,,
