0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5,2.55,2.6,2.65,2.7,2.75,2.8,2.85,2.9,2.95,3,3.05,3.1,3.15,3.2,3.25,3.3,3.35,3.4,3.45,3.5,3.55,3.6,3.65,3.7,3.75,3.8,3.85,3.9,3.95,4,4.05,4.1,4.15,4.2,4.25,4.3,4.35,4.4,4.45,4.5,4.55,4.6,4.65,4.7,4.75,4.8,4.85,4.9,4.95,5,5.05,5.1,5.15,5.2,5.25,5.3,5.35,5.4,5.45,5.5,5.55,5.6,5.65,5.7,5.75,5.8,5.85,5.9,5.95,6,6.05,6.1,6.15,6.2,6.25,6.3,6.35,6.4,6.45,6.5,6.55,6.6,6.65,6.7,6.75,6.8,6.85,6.9,6.95,7,7.05,7.1,7.15,7.2,7.25,7.3,7.35,7.4,7.45,7.5,7.55,7.6,7.65,7.7,7.75,7.8,7.85,7.9,7.95,8,8.05,8.1,8.15,8.2,8.25,8.3,8.35,8.4,8.45,8.5,8.55,8.6,8.65,8.7,8.75,8.8,8.85,8.9,8.95,9,9.05,9.1,9.15,9.2,9.25,9.3,9.35,9.4,9.45,9.5,9.55,9.6,9.65,9.7,9.75,9.8,9.85,9.9,9.95,10,10.05,10.1,10.15,10.2,10.25,10.3,10.35,10.4,10.45,10.5,10.55,10.6,10.65,10.7,10.75,10.8,10.85,10.9,10.95,11,11.05,11.1,11.15,11.2,11.25,11.3,11.35,11.4,11.45,11.5,11.55,11.6,11.65,11.7,11.75,11.8,11.85,11.9,11.95,12,12.05,12.1,12.15,12.2,12.25,12.3,12.35,12.4,12.45,12.5,12.55,12.6,12.65,12.7,12.75,12.8,12.85,12.9,12.95,13,13.05,13.1,13.15,13.2,13.25,13.3,13.35,13.4,13.45,13.5,13.55,13.6,13.65,13.7,13.75,13.8,13.85,13.9,13.95,14,14.05,14.1,14.15,14.2,14.25,14.3,14.35,14.4,14.45,14.5,14.55,14.6,14.65,14.7,14.75,14.8,14.85,14.9,14.95,15,15.05,15.1,15.15,15.2,15.25,15.3,15.35,15.4,15.45,15.5,15.55,15.6,15.65,15.7,15.75,15.8,15.85,15.9,15.95,16,16.05,16.1,16.15,16.2,16.25,16.3,16.35,16.4,16.45,16.5,16.55,16.6,16.65,16.7,16.75,16.8,16.85,16.9,16.95,17,17.05,17.1,17.15,17.2,17.25,17.3,17.35,17.4,17.45,17.5,17.55,17.6,17.65,17.7,17.75,17.8,17.85,17.9,17.95,18,18.05,18.1,18.15,18.2,18.25,18.3,18.35,18.4,18.45,18.5,18.55,18.6,18.65,18.7,18.75,18.8,18.85,18.9,18.95,19,19.05,19.1,19.15,19.2,19.25,19.3,19.35,19.4,19.45,19.5,19.55,19.6,19.65,19.7,19.75,19.8,19.85,19.9,19.95,20,20.05,20.1,20.15,20.2,20.25,20.3,20.35,20.4,20.45,20.5,20.55,20.6,20.65,20.7,20.75,20.8,20.85,20.9,20.95,21,21.05,21.1,21.15,21.2,21.25,21.3,21.35,21.4,21.45,21.5,21.55,21.6,21.65,21.7,21.75,21.8,21.85,21.9,21.95,22,22.05,22.1,22.15,22.2,22.25,22.3,22.35,22.4,22.45,22.5,22.55,22.6,22.65,22.7,22.75,22.8,22.85,22.9,22.95,23,23.05,23.1,23.15,23.2,23.25,23.3,23.35,23.4,23.45,23.5,23.55,23.6,23.65,23.7,23.75,23.8,23.85,23.9,23.95,24
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
0,0,0,0,3,3,3,3,4.5,4.5,4.5,4.5,4.3325,4.3325,4.3325,4.3325,1.6817,1.6817,1.6817,1.6817,2.1198,2.1198,2.1198,2.1198,2.9192,2.9192,2.9192,2.9192,2.9508,2.9508,2.9508,2.9508,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.9626,2.3614,2.3614,2.3614,2.3614,2.7891,2.7891,2.7891,2.7891,2.8044,2.8044,2.8044,2.8044,2.8336,2.8336,2.8336,2.8336,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,2.8399,4.3399,4.3399,4.3399,4.3399,5.8399,5.8399,5.8399,5.8399,7.3399,7.3399,7.3399,7.3399,1.9964,1.9964,1.9964,1.9964,1.1764,1.1764,1.1764,1.1764,1.0353,1.0353,1.0353,1.0353,1.8801,1.8801,1.8801,1.8801,3.3801,3.3801,3.3801,3.3801,4.8801,4.8801,4.8801,4.8801,3.5546,3.5546,3.5546,3.5546,3.3766,3.3766,3.3766,3.3766,3.3556,3.3556,3.3556,3.3556,3.3556,3.3556,3.3556,3.3556,3.3556,3.3556,3.3556,3.3556,3.3556,3.3556,3.3556,3.3556,3.3556,3.3556,3.3556,3.3556,3.3964,3.3964,3.3964,3.3964,3.4207,3.4207,3.4207,3.4207,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,3.4265,2.2946,2.2946,2.2946,2.2946,3.1848,3.1848,3.1848,3.1848,3.1848,3.1848,3.1848,3.1848,3.1848,3.1848,3.1848,3.1848,3.1837,3.1837,3.1837,3.1837,1.9299,1.9299,1.9299,1.9299,3.4299,3.4299,3.4299,3.4299,4.9299,4.9299,4.9299,4.9299,6.4299,6.4299,6.4299,6.4299,4.3402,4.3402,4.3402,4.3402,0.88131,0.88131,0.88131,0.88131,0.5149,0.5149,0.5149,0.5149,0.49524,0.49524,0.49524,0.49524,1.4164,1.4164,1.4164,1.4164,2.9164,2.9164,2.9164,2.9164,3.9629,3.9629,3.9629,3.9629,1.7468,1.7468,1.7468,1.7468,1.0789,1.0789,1.0789,1.0789,2.0126,2.0126,2.0126,2.0126,3.5126,3.5126,3.5126,3.5126,2.1459,2.1459,2.1459,2.1459,1.7734,1.7734,1.7734,1.7734,1.8696,1.8696,1.8696,1.8696,1.9506,1.9506,1.9506,1.9506,3.4506,3.4506,3.4506,3.4506,2.0922,2.0922,2.0922,2.0922,2.0922,2.0922,2.0922,2.0922,2.0922,2.0922,2.0922,2.0922,2.0922,2.0922,2.0922,2.0922,3.2684,3.2684,3.2684,3.2684,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2.4768,2.4768,2.4768,2.4768,3.8991,3.8991,3.8991,3.8991,2.5458,2.5458,2.5458,2.5458,4.0458,4.0458,4.0458,4.0458,5.5458,5.5458,5.5458,5.5458,7.0458,7.0458,7.0458,7.0458,2.3434,2.3434,2.3434,2.3434,1.3097,1.3097,1.3097,1.3097,1.0631,1.0631,1.0631,1.0631,1.7637,1.7637,1.7637,1.7637,3.2637,3.2637,3.2637,3.2637,4.7637,4.7637,4.7637,4.7637,3.3107,3.3107,3.3107,3.3107,3.3107,3.3107,3.3107,3.3107,4.343,4.343,4.343,4.343,3.3997,3.3997,3.3997,3.3997,4.4656,4.4656,4.4656,4.4656,3.6098,3.6098,3.6098,3.6098,1.6595,1.6595,1.6595,1.6595,1.5994,1.5994,1.5994,1.5994,3.0994,3.0994,3.0994,3.0994,4.5994,4.5994,4.5994,4.5994,5.0252,5.0252,5.0252,5.0252,3.2535,3.2535,3.2535,3.2535,3.1197,3.1197,3.1197,3.1197,2.8643,2.8643,2.8643,2.8643,3.0882,3.0882,3.0882,3.0882,3.1423
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1047.6,1090.6,1129.6,1164.8,1196.7,1225.6,1251.7,1275.3,1296.7,1316.1,1333.6,1349.4,1316.2,1286.1,1258.8,1234.2,1211.9,1191.8,1173.5,1157,1147.1,1138.5,1131.3,1125.2,1120.2,1116,1112.8,1110.3,1108.5,1107.2,1106.6,1106.4,1106.6,1107.3,1108.3,1109.6,1111.1,1112.9,1114.9,1117.1,1119.5,1121.9,1124.5,1127.2,1129.9,1132.7,1135.5,1138.4,1141.3,1144.1,1147,1149.9,1152.7,1155.5,1158.2,1161,1163.6,1166.2,1168.7,1171.2,1173.5,1175.8,1178,1180.2,1182.2,1184.1,1186,1187.7,1189.3,1190.9,1192.3,1193.6,1194.8,1195.9,1196.8,1197.7,1198.4,1199,1199.5,1199.9,1200.1,1200.3,1200.3,1200.2,1199.9,1199.6,1199.1,1198.5,1197.8,1196.9,1196,1194.9,1193.7,1192.4,1190.9,1189.3,1187.7,1185.9,1183.9,1181.9,1179.8,1177.5,1175.2,1172.7,1170.1,1167.4,1164.6,1161.7,1158.7,1155.6,1152.4,1149.2,1145.8,1142.3,1138.7,1135.1,1131.4,1127.6,1123.7,1119.7,1163.2,1202.2,1236.9,1267.9,1295.5,1320,1341.7,1360.8,1377.6,1392.4,1405.3,1416.4,1378.4,1343.6,1311.5,1282.1,1254.9,1229.8,1206.7,1185.2,1165.3,1146.8,1129.6,1113.6,1098.5,1084.5,1071.3,1058.9,1047.2,1036.1,1025.7,1015.7,1006.3,997.33,988.77,980.59,972.76,965.24,958.03,951.09,944.41,937.97,931.75,925.74,919.93,914.3,908.86,903.58,898.46,893.5,888.69,884.03,879.5,875.11,870.86,866.74,862.74,858.87,855.13,851.52,848.02,844.65,841.4,838.27,835.27,832.38,829.62,826.98,824.46,822.06,819.79,817.63,815.6,813.7,811.92,810.26,808.73,807.32,806.04,804.88,803.85,802.95,802.17,801.52,801,800.6,800.33,800.19,800.17,800.28,800.52,800.88,801.37,801.99,802.73,803.59,804.57,805.68,806.92,808.27,809.74,811.33,813.04,814.87,816.82,818.88,821.05,823.33,825.73,828.23,830.84,833.56,836.38,839.31,842.33,845.46,848.68,851.99,855.4,858.9,910.07,956.79,999.5,1038.6,1074.4,1107.3,1137.4,1165.2,1190.8,1214.4,1236.2,1256.5,1227.7,1202.1,1179.5,1159.4,1141.8,1126.3,1112.8,1101.1,1091,1082.3,1075,1068.8,1063.7,1059.6,1056.4,1053.9,1052.2,1051.1,1050.6,1050.6,1051.1,1052.1,1053.4,1055,1056.9,1059.2,1061.6,1064.3,1067.1,1070.1,1073.3,1076.6,1079.9,1083.4,1086.9,1090.5,1094.2,1097.8,1101.5,1105.2,1108.9,1112.6,1116.3,1120,1123.6,1127.2,1130.8,1134.3,1137.7,1141.1,1144.5,1147.7,1150.9,1154,1157.1,1160,1162.9,1165.7,1168.4,1171,1173.4,1175.8,1178.1,1180.3,1182.4,1184.4,1186.2,1188,1189.6,1191.1,1192.6,1193.8,1195,1196.1,1197,1197.8,1198.5,1199.1,1199.5,1199.8,1200,1200.1,1200,1199.9,1199.6,1199.1,1198.6,1197.9
76.216,76.394,77.108,78.29,79.843,81.502,82.792,83.71,84.33,84.611,84.393,83.774,82.877,81.811,80.673,79.508,78.344,77.359,76.876,76.799,77.019,77.433,77.93,78.479,79.067,79.629,80.054,80.354,80.558,80.686,80.753,80.773,80.758,80.716,80.654,80.577,80.49,80.396,80.298,80.197,80.097,79.997,79.898,79.801,79.706,79.614,79.525,79.438,79.354,79.273,79.195,79.119,79.046,78.976,78.909,78.844,78.781,78.758,78.85,79.038,79.297,79.579,79.816,80.007,80.164,80.292,80.396,80.48,80.55,80.606,80.648,80.677,80.698,80.711,80.718,80.72,80.718,80.714,80.707,80.7,80.691,80.682,80.673,80.663,80.653,80.644,80.634,80.625,80.615,80.606,80.598,80.589,80.581,80.573,80.565,80.558,80.551,80.544,80.537,80.531,80.524,80.518,80.513,80.507,80.502,80.496,80.491,80.487,80.482,80.478,80.473,80.469,80.465,80.461,80.458,80.454,80.45,80.447,80.444,80.441,80.438,80.435,80.432,80.43,80.427,80.425,80.422,80.42,80.418,80.416,80.413,80.411,80.41,80.408,80.406,80.404,80.403,80.401,80.399,80.398,80.397,82.67,85.733,88.572,91.143,93.357,95.004,96.148,96.891,97.204,96.933,96.213,95.189,91.744,87.391,83.16,79.202,75.761,73.394,71.798,70.764,70.291,70.324,70.716,71.372,72.217,73.281,74.51,75.878,77.298,78.691,80.038,81.348,82.53,83.408,84.01,84.402,84.536,84.258,83.66,82.846,81.981,81.281,80.73,80.292,79.955,79.716,79.555,79.453,79.402,79.385,79.398,79.434,79.49,79.554,79.627,79.706,79.795,79.881,79.968,80.055,80.147,80.231,80.313,80.392,80.474,80.546,80.613,80.677,80.741,80.785,80.819,80.843,80.866,80.868,80.861,80.845,80.829,80.796,80.756,80.709,80.666,80.607,80.542,80.471,80.406,80.324,80.238,80.145,80.058,79.956,79.847,79.733,79.625,79.501,79.371,79.236,79.106,78.96,78.809,78.652,78.565,78.648,78.876,79.21,79.581,79.839,80.003,80.093,80.128,80.112,80.058,79.973,79.869,79.738,79.589,79.426,79.255,79.068,78.871,78.666,80.645,83.467,86.254,88.985,91.529,93.667,95.422,96.852,97.895,98.374,98.386,98.049,95.237,91.395,87.545,83.831,80.398,77.528,75.098,73.023,71.261,70.252,69.766,69.675,69.797,70.271,70.973,71.858,72.86,74.029,75.31,76.689,78.089,79.401,80.61,81.738,82.694,83.278,83.525,83.511,83.225,82.572,81.632,80.5,79.394,78.659,78.246,78.071,78.114,78.423,78.948,79.639,80.393,81.045,81.585,82.036,82.307,82.183,81.718,81.008,80.226,79.628,79.211,78.93,78.774,78.776,78.904,79.128,79.416,79.738,80.08,80.436,80.797,81.147,81.485,81.813,82.023,81.878,81.419,80.737,80.003,79.478,79.155,78.985,78.931,78.966,79.068,79.221,79.414,79.639,79.888,80.156,80.439,80.737,81.044,81.361,81.599,81.572,81.311,80.883,80.411,80.079,79.886,79.802,79.8,79.865,79.98,80.136,80.323,80.538,80.774,81.029,81.287,81.528,81.752,81.965,82.07,81.854,81.365,80.692,82.465,85.367,88.236,90.943,93.368,95.259,96.663,97.673,98.251,98.218,97.705,96.865,93.473,89.042,84.737,80.707,77.205,74.776,73.117,72.012,71.316,71.117,71.278,71.72,72.388,73.289,74.375,75.616,76.94,78.26,79.559,80.846,82.025,82.905,83.515,83.918,84.064,83.795,83.201,82.388,81.532,80.873,80.389,80.039,79.79,79.62,79.511,79.45,79.365,79.125,78.765,78.324,77.889,77.584,77.391,77.281,77.178,76.944,76.606,76.201,75.801,75.509,75.309,75.178,75.214,75.578,76.218,77.066,78.098,79.243,80.491,81.819,83.113,84.168,85.002,85.66,86.081,86.099,85.79,85.25,84.526,83.62,82.596,81.506,80.491,79.765,79.273,78.949,78.767,78.685,78.684,78.74,78.867,79.05,79.284,79.553,79.846,80.102,80.332,80.539
